"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"reich2004_B","reich2004","Pharmacotherapy","2004","PTSD","Inactive Control",,"21","B","9",,"Control","Placebo","Placebo","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Once daily at bedtime initially, then up to 2 or 3 times daily","8",,,,,,,,,,,,,,"Race data reported","Community","100%","Mixed","child physical abuse, child sexual abuse, child other abuse","Some Concerns","Reich DB, Winternitz S, Hennen J, et al. A preliminary study of risperidone in the treatment of posttraumatic stress disorder related to childhood abuse in women. J Clin Psychiatry. 2004 Dec;65(12):1601-6. PMID: 15641864.","27284","2019"
"reinhardt2018_A","reinhardt2018","CIH","2018","PTSD","PTSD",,"51","A","26",,"Kripalu yoga","Yoga","Group yoga sessions comprised of centering and breathing exercises, body warm-ups, physical poses, breath work, moving meditation, and relaxation; participants asked to practice yoga for 15 minutes daily.","No",,"No",,"Yes","Yoga","No","No","No","No","No","Group","In Person",,"90 minutes","Twice weekly","10",,"Completed treatment stage",,"completed stage 1 (randomization through post assessment), ""completed"" in table 1",,,,,,,,,,"Race and Ethnicity data reported","Mixed","11.76%",,,"High","Reinhardt KM, Noggle Taylor JJ, Johnston J, et al. Kripalu yoga for military veterans With PTSD: a randomized trial. J Clin Psychol. 2018 Jan;74(1):93-108. doi: 10.1002/jclp.22483. PMID: 28524358.","48190","2019"
"reinhardt2018_B","reinhardt2018","CIH","2018","PTSD","Inactive Control",,"51","B","25",,"Control","Assessment","No treatment; participants completed assessments as a group (except CAPS, completed individually).","No",,"No",,"No",,"No","No","Yes","No","No","Group","In Person",,,,"10",,,,,,,,,,,,,,"Race and Ethnicity data reported","Mixed","11.76%",,,"High","Reinhardt KM, Noggle Taylor JJ, Johnston J, et al. Kripalu yoga for military veterans With PTSD: a randomized trial. J Clin Psychol. 2018 Jan;74(1):93-108. doi: 10.1002/jclp.22483. PMID: 28524358.","48190","2019"
"resick2002_A","resick2002","Psychotherapy","2002","PTSD","PTSD",,"171","A","62",,"CPT","Cognitive Processing Therapy (CPT)","Manualized therapy including cognitive therapy and exposure in the form of writing and reading about the traumatic event","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes for initial session, all others 90 minutes","Twice weekly","6",,"completed all 12 sessions",,,,,,,,,,,,"Race data reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault","High","Resick PA, Nishith P, Weaver TL, et al. A comparison of cognitive-processing therapy with prolonged exposure and a waiting condition for the treatment of chronic posttraumatic stress disorder in female rape victims. J Consult Clin Psychol. 2002 Aug;70(4):867-79.  PMID: 12182270.","14652","2019"
"resick2002_B","resick2002","Psychotherapy","2002","PTSD","PTSD",,"171","B","62",,"PE","Prolonged Exposure (PE)","Includes education-rationale, breathing retraining, behavioral exposures, and imaginal exposures","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes for initial session, all others 90 minutes","Twice weekly","6",,"completed all 12 sessions",,,,,,,,,,,,"Race data reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault","High","Resick PA, Nishith P, Weaver TL, et al. A comparison of cognitive-processing therapy with prolonged exposure and a waiting condition for the treatment of chronic posttraumatic stress disorder in female rape victims. J Consult Clin Psychol. 2002 Aug;70(4):867-79.  PMID: 12182270.","14652","2019"
"resick2002_C","resick2002","Psychotherapy","2002","PTSD","Inactive Control",,"171","C","47",,"Waitlist with minimal attention","Minimal attention","Participants were encouraged to call therapist for client-centered telephone counseling","No",,"No",,"No",,"No","No","Yes","No","No","Individual","Phone",,,,"6",,"completed treatment course",,,,,,,,,,,,"Race data reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault","High","Resick PA, Nishith P, Weaver TL, et al. A comparison of cognitive-processing therapy with prolonged exposure and a waiting condition for the treatment of chronic posttraumatic stress disorder in female rape victims. J Consult Clin Psychol. 2002 Aug;70(4):867-79.  PMID: 12182270.","14652","2019"
"resick2008_A","resick2008","Psychotherapy","2008","PTSD","PTSD",,"162","A","56",,"CPT","Cognitive Processing Therapy (CPT)","Manualized therapy that teaches skill of recognizing and challenging dysfunctional cognitions","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Twice weekly","6",,"completed all 12 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Community","100%","Mixed","child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence","Low","Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.","30597","2019"
"resick2008_B","resick2008","Psychotherapy","2008","PTSD","Active Control",,"162","B","51",,"Written account","Written narrative exposure","Exposure-focused component of CPT where patients wrote about index event and discussed emotional response regarding event, but did not include cognitive therapy or challenge to client's dysfunctional statements","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"60 minutes for initial 2 sessions, 2 hours for remaining sessions","Twice weekly for first week, then weekly","6","7 sessions total","completed all 7 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Community","100%","Mixed","child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence","Low","Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.","30597","2019"
"resick2008_C","resick2008","Psychotherapy","2008","PTSD","Active Control",,"162","C","55",,"CPT-cognitive therapy","Cognitive Processing Therapy (CPT)","Identical to manualized CPT but without written account component","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"60 minutes","Twice weekly","6",,"completed all 12 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Community","100%","Mixed","child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence","Low","Resick PA, Galovski TE, Uhlmansiek MOB, et al. A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence. J Consult Clin Psychol. 2008 Apr;76(2):243-58. doi: 10.1037/0022-006X.76.2.243. PMID: 18377121.","30597","2019"
"resick2015_A","resick2015","Psychotherapy","2015","PTSD","PTSD",,"108","A","56",,"CPT-Cognitive only version","Cognitive Processing Therapy (CPT)","Trauma-focused cognitive therapy where patients learn to label events, thoughts, and subsequent emptions while therapist uses Socratic questioning to help patients examine the facts and context, and develop new, more balanced thinking about traumatic events","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Group","In Person",,"90 minutes","Twice weekly","6",,"Completed intervention",,,,,,"8.4","3.5",,,,,"Race and Ethnicity data reported","Active Duty Military","7.41%","Mixed","combat-related, child sexual abuse","Some Concerns","Resick PA, Wachen JS, Mintz J, et al. A randomized clinical trial of group cognitive processing therapy compared with group present-centered therapy for PTSD among active duty military personnel. J Consult Clin Psychol. 2015 Dec;83(6):1058-68. doi: 10.1037/ccp0000016. PMID: 25939018.","43929","2020"
"resick2015_B","resick2015","Psychotherapy","2015","PTSD","Active Control",,"108","B","52",,"PCT","Present-Centered Therapy (PCT)","Therapists help patients manage current symptoms through problem solving, directing discussion of trauma back to present time","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Group","In Person",,"90 minutes","Twice weekly","6",,"Completed intervention",,,,,,"9.8","2.3",,,,,"Race and Ethnicity data reported","Active Duty Military","7.41%","Mixed","combat-related, child sexual abuse","Some Concerns","Resick PA, Wachen JS, Mintz J, et al. A randomized clinical trial of group cognitive processing therapy compared with group present-centered therapy for PTSD among active duty military personnel. J Consult Clin Psychol. 2015 Dec;83(6):1058-68. doi: 10.1037/ccp0000016. PMID: 25939018.","43929","2020"
"resick2017_A","resick2017","Psychotherapy","2017","PTSD","PTSD",,"268","A","133",,"Group CPT","Cognitive Processing Therapy (CPT)","Trauma-focused cognitive therapy in groups of 8 to 10 participants; cognitive-only version following manual developed for military and veterans and incorporating special considerations for military population; one individual meeting with therapist prior to treatment to review trauma history; therapy aim to teach patients to recognize and challenge dysfunctional cognitions (stuck points) about the traumatic event(s) and current thoughts about themselves, others, and the world. Participants who missed 4 sessions were dropped from group treatment.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Group","In Person",,"90 minutes","Twice weekly","6",,"completed ≥9 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Active Duty Military","9%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)","Some Concerns","Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.","45949","2019"
"resick2017_B","resick2017","Psychotherapy","2017","PTSD","PTSD",,"268","B","135",,"Individual CPT","Cognitive Processing Therapy (CPT)","Individual trauma-focused cognitive therapy; cognitive-only version following manual developed for military and veterans and incorporating special considerations for military population; therapy aim to teach patients to recognize and challenge dysfunctional cognitions (stuck points) about the traumatic event(s) and current thoughts about themselves, others, and the world. Participants who couldn't complete treatment in 3 months for reasons other than military assignments had treatment ended.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Twice weekly","6",,"completed ≥9 sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Active Duty Military","9%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)","Some Concerns","Resick PA, Wachen JS, Dondanville KA, et al. Effect of group vs individual cognitive processing therapy in active-duty military seeking treatment for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2017 Jan;74(1):28-36.  PMID: 27893032.","45949","2019"
"reyes2024_A","reyes2024","Other study class","2024","PTSD","PTSD",,"60","A","30",,"Mindfulness- and acceptance-based smartphone app","Mindfulness","App based on principles of Acceptance and Commitment Therapy, including engaging with the present moment, clarifying values, and committing to a value-based life. Daily audio-guided mindfulness exercises, weekly videos and reflections. Weekly calls from research team to address technical issues.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Technology alone",,,"Daily","6","""Participants were advised to practice at least one daily audio-guided mindfulness meditation""","Completed the 6 week intervention",,,,,,,,,,,,"Race and Ethnicity data reported","Community","66.67%",,,"High","Reyes AT, Fudolig M, Sharma M, et al. Testing the effectiveness of a mindfulness- and acceptance-based smartphone app for nurses traumatized by the COVID-19 pandemic: a pilot study. Issues Ment Health Nurs. 2024 Oct;45(10):1034-45. doi: 10.1080/01612840.2024.2385571. PMID: 39173125.","1641014","2025"
"reyes2024_B","reyes2024","Other study class","2024","PTSD","Inactive Control",,"60","B","30",,"Waitlist","Waitlist","No intervention; offered mindfulness app after 10-week followup","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,,,,,"completed the control procedures 100%",,,,,,,,,,"Race and Ethnicity data reported","Community","66.67%",,,"High","Reyes AT, Fudolig M, Sharma M, et al. Testing the effectiveness of a mindfulness- and acceptance-based smartphone app for nurses traumatized by the COVID-19 pandemic: a pilot study. Issues Ment Health Nurs. 2024 Oct;45(10):1034-45. doi: 10.1080/01612840.2024.2385571. PMID: 39173125.","1641014","2025"
"richards1994_A","richards1994","Psychotherapy","1994","PTSD","PTSD",,"14","A","7",,"Imaginal exposure followed by live exposure","Exposure therapy","Imaginal exposure involved patients reliving their traumatic memories until anxiety is reduced. Live exposure involved patients re-entering trauma-related situations that they had been avoiding.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","8","4 sessions each of imaginal and live exposure","Completed treatment",,,,,,,,,,,,"Not reported","Community","69.23%","Mixed","rape/sexual assault, accidents, community/school violence, natural or manmade disasters","High","Richards DA, Lovell K, Marks IM. Post-traumatic stress disorder: evaluation of a behavioral treatment program. J Trauma Stress. 1994 Oct;7(4):669-80. doi: 10.1007/BF02103014. PMID: 7820356.","12187","2019"
"richards1994_B","richards1994","Psychotherapy","1994","PTSD","PTSD",,"14","B","7",,"Live exposure followed by imaginal exposure","Exposure therapy","Imaginal exposure involved patients reliving their traumatic memories until anxiety is reduced. Live exposure involved patients re-entering trauma-related situations that they had been avoiding.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","8","4 sessions each of imaginal and live exposure","completed treatment",,,,,,,,,,,,"Not reported","Community","69.23%","Mixed","rape/sexual assault, accidents, community/school violence, natural or manmade disasters","High","Richards DA, Lovell K, Marks IM. Post-traumatic stress disorder: evaluation of a behavioral treatment program. J Trauma Stress. 1994 Oct;7(4):669-80. doi: 10.1007/BF02103014. PMID: 7820356.","12187","2019"
"richerson2023_A","richerson2023","Other study class","2023","PTSD","PTSD",,"213","A","111","114 initially randomized, n=3 excluded for no longer meeting inclusion criteria; 97 received intervention","Service Dog","Animal Assisted","Veteran paired with service dog trained to perform five PTSD-specific tasks: turning on a light in a dark room, entering and sweeping the perimeter of a room, retrieving an object at handler's request, blocking a person approaching from the front, and blocking a person approaching from behind","No",,"No",,"No",,"No","No","No","Yes","No","Individual","In Person",,,,"78","18 months' follow-up after paired with dog","Did not discontinue the intervention",,"n=97 received a service dog, of those, n=9 discontinued the intervention before completing 18 months of follow-up = 88 received a dog and did not discontinue",,,,,,,,,,"Race and Ethnicity data reported","Veteran","20%",,,"High","Richerson JT, Wagner TH, Abrams T, et al. Therapeutic and economic benefits of service dogs versus emotional support dogs for veterans with PTSD. Psychiatr Serv. 2023:appips20220138. doi: 10.1176/appi.ps.20220138. PMID: 36718602.","1615319","2023"
"richerson2023_B","richerson2023","Other study class","2023","PTSD","Active Control",,"213","B","102","113 initially randomized, n=11 excluded for no longer meeting inclusion criteria; 84 received intervention","Emotional Support Dog","Animal Assisted","Veteran paired with companion dog not trained in PTSD-specific tasks","No",,"No",,"No",,"No","No","Yes","Yes","No","Individual","In Person",,,,"78","18 months' follow-up after paired with dog","Did not discontinue the intervention",,"n=84 received a support dog, of those, n=9 discontinued the intervention before completing 18 months of follow-up = 65 received a dog and did not discontinue",,,,,,,,,,"Race and Ethnicity data reported","Veteran","20%",,,"High","Richerson JT, Wagner TH, Abrams T, et al. Therapeutic and economic benefits of service dogs versus emotional support dogs for veterans with PTSD. Psychiatr Serv. 2023:appips20220138. doi: 10.1176/appi.ps.20220138. PMID: 36718602.","1615319","2023"
"robjant2019_A","robjant2019","Psychotherapy","2019","PTSD","PTSD",,"92","A","46",,"Adapted FORNET","Narrative Exposure Therapy (NET)","Individual + group therapy sessions; adapted version expanded group component to ""maximize the focus on behaviour change away from ongoing perpetration of violence within the community, and to increase the emphasis on peer support"". Individual sessions involved construction of lifeline, exploration of traumatic events (act of perpetrated violence). Group sessions ""aimed to develop skills and motivation to avoid perpetrating violence within the community"" and group members encouraged to support each other and introduced a 'buddy system'.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Mixed","In Person",,"Individual sessions: 90 to 120 minutes; Group sessions: 60 to 90 minutes","Individual sessions: weekly; Group sessions: weekly","6",,"attended all individual and group therapy sessions (6 sessions each)",,,,,,,,,,,,"Not reported","Community","100%","Terrorism/political violence/forced displacement",,"Some Concerns","Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.","1545978","2020"
"robjant2019_B","robjant2019","Psychotherapy","2019","PTSD","Inactive Control",,"92","B","46",,"TAU","Treatment as usual (TAU)","Services available through NGO, including: ""occupational training courses, empathic listening and basic counselling, problem solving and practical support, provided whenever needed""; participant was visited at home if more than a week from last drop in.","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Weekly","6",,,,,,,,,,,,,,"Not reported","Community","100%","Terrorism/political violence/forced displacement",,"Some Concerns","Robjant K, Koebach A, Schmitt S, et al. The treatment of posttraumatic stress symptoms and aggression in female former child soldiers using adapted Narrative Exposure therapy - a RCT in Eastern Democratic Republic of Congo. Behav Res Ther. 2019 Dec;123:103482. doi: 10.1016/j.brat.2019.103482. PMID: 31639529.","1545978","2020"
"rodgman2016_A","rodgman2016","Pharmacotherapy","2016","PTSD","PTSD",,"8","A","8","3 in first study period","Doxazosin extended release","Doxazosin","Extended-release alpha-1 noradrenergic antagonist with 15 to 19 hour half-life; initiated at 4 mg/day and increased by 4 mg every 4 days to final dose of 16 mg/day","No",,"Yes","Antiadrenergic","No",,"No","No","No","No","No","Individual","In Person","Initiated at 4 mg, titrated to 16 mg",,"Daily","2.29",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Rodgman C, Verrico CD, Holst M, et al. Doxazosin XL reduces symptoms of posttraumatic stress disorder in veterans with PTSD: a pilot clinical trial. J Clin Psychiatry. 2016 May;77(5):e561-5. doi: 10.4088/JCP.14m09681. PMID: 27249080.","49795","2019"
"rodgman2016_B","rodgman2016","Pharmacotherapy","2016","PTSD","Inactive Control",,"8","B","8","5 in first study period","Placebo","Placebo","Placebo capsules identical to active treatment, dose increased over study period","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","2.29",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Rodgman C, Verrico CD, Holst M, et al. Doxazosin XL reduces symptoms of posttraumatic stress disorder in veterans with PTSD: a pilot clinical trial. J Clin Psychiatry. 2016 May;77(5):e561-5. doi: 10.4088/JCP.14m09681. PMID: 27249080.","49795","2019"
"rogers1999_A","rogers1999","Psychotherapy","1999","PTSD","PTSD",,"12","A","6",,"Group EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Intervention follow method as described by Shapiro (1995). Subjects asked to concentrate on a visual image, the negative statement, and the sensation while tracking the therapist's finger back and forth. When subjects report minimal distress, they were asked to concentrate on the visual image and positive cognition during eye movements.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 to 90 minutes","Once","0.14","single session","See Detail",,"sample is participants who completed posttreatment assessment, part of an ongoing study; this is a single session intervention, but posttreatment assessment was 1 week after the session; no further information on treatment completion provided",,,,,,,,,,"Not reported","Veteran",,"Combat-related",,"Some Concerns","Rogers S, Silver SM, Goss J, et al. A single session, group study of exposure and Eye Movement Desensitization and Reprocessing in treating posttraumatic stress disorder among Vietnam War veterans: preliminary data. J Anxiety Disord. 1999 Jan-Apr;13(1-2):119-30. doi: 10.1016/S0887-6185(98)00043-7. PMID: 10225504.","14686","2019"
"rogers1999_B","rogers1999","Psychotherapy","1999","PTSD","PTSD",,"12","B","6",,"Exposure therapy","Exposure therapy","Intervention based on explosion procedure described in Lyons and Keane (1989). Subjects were guided in a progress muscle relaxation exercise, then visualized the experience while paying attention to sensory, cognitive, and emotional cues. The scene was repeated with relaxation.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 to 90 minutes","Once","0.14","single session","See Detail",,"sample is participants who completed posttreatment assessment, part of an ongoing study; this is a single session intervention, but posttreatment assessment was 1 week after the session; no further information on treatment completion provided",,,,,,,,,,"Not reported","Veteran",,"Combat-related",,"Some Concerns","Rogers S, Silver SM, Goss J, et al. A single session, group study of exposure and Eye Movement Desensitization and Reprocessing in treating posttraumatic stress disorder among Vietnam War veterans: preliminary data. J Anxiety Disord. 1999 Jan-Apr;13(1-2):119-30. doi: 10.1016/S0887-6185(98)00043-7. PMID: 10225504.","14686","2019"
"rosenbaum2015_A","rosenbaum2015","Other study class","2015","PTSD","PTSD",,"81","A","39",,"Exercise program","Exercise","Resistance training and pedometer-based walking program. Resistance training included one supervised exercise session and two home-based unsupervised exercise sessions per week.







Participants also received usual care which could include psychotherapy, pharmaceutical interventions, and group therapy.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","In Person",,"30 minutes","Three times weekly","12",,"See Detail",,"study reports mean attendance (58% of sessions) but not number of participants attending sessions; completion of assessments also reported",,,,,"2","7/12 supervised exercise sessions",,,,"Not reported","Community","16.05%","Mixed","other (trauma experienced through occupation, not specified)","High","Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.","44069","2019"
"rosenbaum2015_B","rosenbaum2015","Other study class","2015","PTSD","Inactive Control",,"81","B","42",,"TAU","Treatment as usual (TAU)","Usual care which could include psychotherapy, pharmaceutical interventions, and group therapy.","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"12",,,,,,,,,,,,,,"Not reported","Community","16.05%","Mixed","other (trauma experienced through occupation, not specified)","High","Rosenbaum S, Sherrington C, Tiedemann A. Exercise augmentation compared with usual care for post-traumatic stress disorder: a randomized controlled trial. Acta Psychiatr Scand. 2015 May;131(5):350-9. doi: 10.1111/acps.12371. PMID: 25443996.","44069","2019"
"rothbaum1997_A","rothbaum1997","Psychotherapy","1997","PTSD","PTSD",,"21","A","11",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Individual sessions following treatment manual; patient imagines a scene that represents the entire trauma, focusing on sensations of anxiety while rehearsing words that match the picture and simultaneously follows therapist's finger moving back and forth until anxiety is decreased; patient then follows same procedure while rehearsing new, preferred belief, until the new statement feels true to the patient. The first session was comprised of information gathering, without EMDR.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","4",,"Did not drop out of treatment",,"reports study/assessment completion and drop out; completed treatment = did not drop out; n=1 drop out after baseline assessment",,,,,,,,,,"Not reported","Community","100%","Rape/sexual assault",,"High","Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.","09058","2019"
"rothbaum1997_B","rothbaum1997","Psychotherapy","1997","PTSD","Inactive Control",,"21","B","10",,"Waitlist","Waitlist",,"No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"4",,"Did not drop out of treatment",,"reports study/assessment completion and drop out; n=2 drop out from wait list",,,,,,,,,,"Not reported","Community","100%","Rape/sexual assault",,"High","Rothbaum BO. A controlled study of Eye Movement Desensitization and Reprocessing in the treatment of posttraumatic stress disordered sexual assault victims. Bull Menninger Clin. 1997 Summer;61(3):317-34.  PMID: 9260344.","09058","2019"
"rothbaum2005_A","rothbaum2005","Psychotherapy","2005","PTSD","PTSD",,"72","A","25",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Patient imagines a scene representing the worst part of the trauma, focuses on sensations of distress and rehearses negative thoughts, simultaneously following therapist's fingers back and forth at least 20 times each repetition until distress drops to 0 or 1 (measured 0 to 10 on subjective units of discomfort scale); patient then rehearses new, preferred belief while tracking therapist's finger until new statement feels true to the participant; uses cognitive interweaves to accomplish cognitive work. First two sessions for education and treatment planning; remaining 7 sessions were EMDR treatment.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Twice weekly","4 to 5","9 sessions total","completed treatment protocol",,,,,,,,,,,,"Race data reported","Community","100%","Rape/sexual assault",,"High","Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428.","19662","2019"
"rothbaum2005_B","rothbaum2005","Psychotherapy","2005","PTSD","PTSD",,"72","B","23",,"PE","Prolonged Exposure (PE)","Patients instructed to imaging assault scene and describe aloud while anxiety levels are monitored, repeating the process for 45 to 60 minutes, followed by discussion of patient's reaction; patients instructed to listen to recording of narrative at least once a day and assigned homework. Two sessions for treatment planning including construction of a hierarchy of avoided situations for in vivo exposure homework; 7 sessions of imaginative exposure.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Twice weekly","4 to 5","9 sessions total","completed treatment protocol",,,,,,,,,,,,"Race data reported","Community","100%","Rape/sexual assault",,"High","Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428.","19662","2019"
"rothbaum2005_C","rothbaum2005","Psychotherapy","2005","PTSD","Inactive Control",,"72","C","24",,"Waitlist","Waitlist","Waitlist after pretreatment assessment, then randomly assigned to PE or EMDR after posttreatment assessment.","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"4 to 5",,"completed treatment protocol",,,,,,,,,,,,"Race data reported","Community","100%","Rape/sexual assault",,"High","Rothbaum BO, Astin MC, Marsteller F. Prolonged exposure versus Eye Movement Desensitization and Reprocessing (EMDR) for PTSD rape victims. J Trauma Stress. 2005 Dec;18(6):607-16. doi: 10.1002/jts.20069. PMID: 16382428.","19662","2019"
"rothbaum2006_A","rothbaum2006","Psychotherapy & pharmacotherapy","2006","PTSD","PTSD",,"65","A","34",,"Sertraline + PE","Prolonged Exposure (PE) + sertraline","SSRI antidepressant and prolonged exposure therapy comprised of psychoeducation, breathing retraining, in vivo exposure, prolonged imaginal exposure, and homework.","Yes","Trauma-focused","Yes","Antidepressant: SSRI","No",,"No","No","No","No","No","Individual","In Person","Sertraline dose: 25 to 200 mg, previously titrated to maximum dose tolerated in Phase I







PE session length: 90 to 120 minutes",,"Sertraline: daily







PE: Twice a week","5",,"Did not drop out of treatment",,"""completed"" in participant flow diagram; did not drop out of treatment","Sertraline: compliance as number of tablets taken divided by number of tablets that should have been taken, using medication dispensing data and unused medication returns (average % compliance with regimen)",,"Average % compliance with regimen 7.1% (SD 7.99) at Week 10 and 97.1% (SD 5.86) at Week 15 endpoint for both sertraline groups (% of patients being 100% adherent NR)",,,,"173.1 mg at Week 10 and 173.5 mg at Week 15 (average for both sertraline groups)","(44.26) mg at Week 10 and (42.82) mg at Week 15 (average for both sertraline groups)",,"Race data reported","Community","64.6%","Mixed","child sexual abuse, child physical abuse, accidents, combat-related, other (death [not combat-related] of another person)","Some Concerns","Rothbaum BO, Cahill SP, Foa EB, et al. Augmentation of sertraline with prolonged exposure in the treatment of posttraumatic stress disorder. J Trauma Stress. 2006 Oct;19(5):625-38. doi: 10.1002/jts.20170. PMID: 17075912.","80288","2019"
